;submission_id;user_id;location_name;submission_timestamp;questions_134999_where_are_you_eating_at_the_moment;questions_135005_who_are_you_with;questions_134999_where_are_you_eating_at_the_moment;questions_135000_which_of_the_following_best_describes_where_you_got_your_food_from_today;questions_135004_what_else_if_anything_are_you_doing_while_eating_your_food_for_example_are_you_also_watching_tv_checking_social_media_cooking_etc_coded;questions_135022_who_prepared_the_food;level2dish_coded;questions_135019_what_are_the_main_reasons_that_you_chose_this_food_right_now_if_you_are_having_more_than_one_item_please_write_about_the_main_item_you_are_having_please_be_as_detailed_as_you_can_coded;questions_135020_what_other_food_if_any_did_you_consider_having_instead_coded;questions_223649_149206_210007_finally_which_best_describes_the_food_you_are_having_today
251;606;4060009717;South Africa;24/05/2019 09:59;At my home;"[""Alone""]";At my home;;"[""Spending time with family""]";I prepared it myself from scratch;"[""Plain noodles""]";"[""It's what I wanted""]";Other dishes;Lunch
252;607;3629507106;South Africa;31/03/2019 13:38;At school / work;"[""Colleagues""]";At school / work;Cafe / restaurant;"[""Nothing""]";;"[""Chicken""]";"[""I like the taste""]";"[""Nothing""]";Lunch
253;610;1153330789;South Africa;27/03/2019 18:16;At my home;"[""Alone""]";At my home;I had it at home / brought it from home;"[""Watching TV""]";I prepared it myself from scratch;"[""Beans""]";"[""I like the taste""]";"[""Water""]";Lunch
254;613;3877928772;South Africa;01/05/2019 04:00;At my home;"[""Alone""]";At my home;;"[""Watching TV""]";I prepared it myself from scratch;"[""Crackers/ wafers"", ""Bread/ roll/ baguette"", ""Apples and pears""]";"[""Easy to prepare""]";"[""Curry / stew / soup""]";Snack
255;614;3389601060;South Africa;20/02/2019 20:28;At my home;"[""Alone""]";At my home;I had it at home / brought it from home;"[""Relaxing / laying down""]";I prepared it myself from scratch;"[""Chicken""]";"[""Easy to prepare""]";"[""Nothing""]";Lunch
256;615;3211106270;South Africa;30/01/2019 16:12;At my home;"[""My children""]";At my home;Supermarket / Hypermarket/ Grocery Store ;"[""Spending time with family""]";It was premade / ready to eat;"[""Cake""]";"[""I like the taste""]";"[""Biscuits / cookies""]";Snack
257;623;5306674925;South Africa;05/06/2019 11:57;At my home;"[""Other family members""]";At my home;;"[""Talking to someone""]";I prepared it together with friends / family;"[""Beef""]";"[""I like the taste""]";"[""Nothing""]";Dinner
258;624;1069645832;South Africa;22/02/2019 15:24;At my home;"[""Alone""]";At my home;Supermarket / Hypermarket / Grocery Store ;"[""Relaxing / laying down""]";I prepared it myself from scratch;"[""Savoury pie""]";"[""Leftovers / to eat it up before it spoils""]";"[""Hot tea""]";Snack
259;626;545954640;South Africa;22/05/2019 14:43;At school / work;"[""Alone""]";At school / work;;"[""Browsing social media""]";Leftovers;"[""Other potatoes/ sweet potatoes""]";"[""I was hungry""]";"[""Other Dishes""]";Lunch
260;628;6017393664;South Africa;16/07/2019 14:20;On the go / outdoors;"[""Friends""]";On the go / outdoors;Supermarket / Hypermarket / Grocery Store ;"[""Nothing""]";It was premade / ready to eat;"[""Biscuits""]";"[""I wanted a snack""]";"[""Nothing""]";Treat
261;629;3204406416;South Africa;31/05/2019 05:43;At my home;"[""Alone""]";At my home;;"[""Watching TV""]";I prepared it myself using a meal kit;"[""Plain noodles""]";"[""Quick"", ""Easy to prepare"", ""I like the taste""]";"[""Nothing""]";Breakfast
262;636;0;South Africa;04/04/2019 10:53;At my home;"[""Alone""]";At my home;Supermarket / Hypermarket / Grocery Store ;"[""Cooking""]";It was premade / ready to eat;"[""Other fruit"", ""Plain nuts""]";"[""Other""]";"[""Nothing""]";Snack
263;642;1530218349;South Africa;05/02/2019 07:16;At my home;"[""Alone""]";At my home;Supermarket / Hypermarket / Grocery Store ;"[""Nothing""]";It was premade / ready to eat;"[""Crackers/ wafers""]";"[""It's light / not filling""]";"[""Nothing""]";Dinner
264;645;3707109984;South Africa;04/06/2019 16:26;At my home;"[""My spouse/partner""]";At my home;;"[""Watching TV""]";I prepared it myself from scratch;"[""Potato crisps""]";"[""It's my favourite""]";"[""Other dishes""]";Snack
265;646;2534171884;South Africa;10/04/2019 17:45;At my home;"[""Alone""]";At my home;I had it at home / brought it from home;"[""Cooking""]";I prepared it myself from scratch;"[""White fish"", ""Plain pasta""]";"[""I like the taste""]";"[""Rice / pasta / grains / pulses""]";Dinner
266;651;2725943808;South Africa;31/01/2019 09:17;At my home;"[""Alone""]";At my home;Supermarket / Hypermarket / Grocery Store ;"[""Watching TV"", ""Browsing the internet""]";I prepared it myself from scratch;"[""Egg-based dish"", ""Plain yoghurt (sweet)"", ""Berries / cherries / grapes"", ""Tropical and exotic fruit"", ""Seeds"", ""Berries / cherries / grapes"", ""Berries / cherries / grapes""]";"[""It's a healthy choice"", ""Energy boost""]";"[""Biscuits / cookies""]";Breakfast
267;653;790772390;South Africa;10/05/2019 12:44;At my home;"[""Alone""]";At my home;Supermarket / Hypermarket / Grocery Store ;"[""Browsing the internet""]";It was premade / ready to eat;"[""Biscuits""]";"[""I wanted a snack""]";"[""Nothing""]";Snack
268;656;458544744;South Africa;26/01/2019 15:32;At my home;"[""My spouse/partner""]";At my home;I had it at home / brought it from home;"[""Relaxing / laying down""]";I prepared it myself from scratch;"[""Crackers/ wafers"", ""Blue cheese""]";"[""Leftovers / to eat it up before it spoils""]";"[""Nothing""]";Lunch
269;657;1798006658;South Africa;28/04/2019 17:10;At my home;"[""Alone""]";At my home;;"[""Playing games""]";I prepared it myself from scratch;"[""Plain rice""]";"[""Quick"", ""Easy to prepare""]";"[""Nothing""]";Dinner
270;661;1097867576;South Africa;01/02/2019 12:54;At my home;"[""Alone""]";At my home;Cafe / restaurant;"[""Watching TV""]";;"[""Biscuits""]";"[""Quick""]";"[""Nothing""]";Breakfast
271;664;1154721008;South Africa;05/07/2019 10:30;At my home;"[""My children""]";At my home;Convenience Store / Small local supermarket;"[""Watching TV""]";It was premade / ready to eat;"[""Biscuits""]";"[""It's what I wanted""]";"[""Savoury snacks""]";Snack
272;666;3676682436;South Africa;20/02/2019 16:10;At my home;"[""My spouse/partner""]";At my home;I had it at home / brought it from home;"[""Watching TV""]";I prepared it myself from scratch;"[""Vegetable curry"", ""Plain rice"", ""Bread/ roll/ baguette""]";"[""It's a healthy choice"", ""I like the taste"", ""It's my favourite""]";"[""Nothing""]";Dinner
273;675;6138885808;South Africa;23/05/2019 20:15;At my home;"[""Alone""]";At my home;Supermarket / Hypermarket / Grocery Store ;"[""Nothing""]";It was premade / ready to eat;"[""Plain yoghurt (sweet)""]";"[""Other""]";"[""Nothing""]";Dinner
274;677;5494209623;South Africa;19/07/2019 02:39;On the go / outdoors;"[""Alone""]";On the go / outdoors;Convenience Store / Small local supermarket;"[""Relaxing / laying down""]";It was premade / ready to eat;"[""Cake""]";"[""It's what I wanted""]";"[""Nothing""]";Breakfast
275;678;7343124508;South Africa;18/08/2019 05:54;At my home;"[""Alone""]";At my home;;"[""Watching TV""]";I prepared it myself from scratch;"[""Ice cream""]";"[""I like the taste"", ""It's refreshing""]";"[""Biscuits / cookies""]";Snack
276;680;1059809320;South Africa;05/02/2019 12:26;At my home;"[""My children""]";At my home;Deli / Sandwich Store / Bakery;"[""Watching TV""]";;"[""Bread/ roll/ baguette""]";"[""It's my habit / routine""]";"[""Biscuits / cookies""]";Breakfast
277;681;3239772536;South Africa;26/04/2019 14:57;At my home;"[""My children""]";At my home;;"[""Watching TV""]";I prepared it myself from scratch;"[""Bread/ roll/ baguette""]";"[""Easy to prepare"", ""I wanted a snack""]";"[""Nothing""]";Snack
278;688;25279726488;South Africa;14/02/2019 14:38;At my home;"[""Alone""]";At my home;I had it at home / brought it from home;"[""Watching TV""]";Someone else prepared it;"[""Bread/ roll/ baguette"", ""Vegetable curry""]";"[""It's a healthy choice""]";"[""Juice / juice drinks""]";Dinner
279;692;5058412560;South Africa;24/05/2019 17:20;At my home;"[""Alone""]";At my home;Supermarket / Hypermarket / Grocery Store ;"[""Watching TV""]";It was premade / ready to eat;"[""Apples and pears"", ""Citrus fruit""]";"[""Convenient""]";"[""Sandwich / bagel / wrap""]";Lunch
280;693;0;South Africa;24/08/2019 22:37;At my home;"[""Alone""]";At my home;;"[""Browsing social media""]";I prepared it myself from scratch;"[""Crackers/ wafers""]";"[""I like the taste""]";"[""Nothing""]";Breakfast
281;697;2748636;South Africa;13/08/2019 16:52;At my home;"[""Alone""]";At my home;;"[""Working / studying""]";I prepared it myself from scratch;"[""Berries / cherries / grapes""]";"[""Personal dietary requirement""]";"[""Nothing""]";Snack
282;700;3837777544;South Africa;02/05/2019 15:00;At school / work;"[""Alone""]";At school / work;Kiosk / Stall;"[""Browsing social media""]";It was premade / ready to eat;"[""Bread with savoury spread""]";"[""It's my habit / routine""]";"[""Dairy""]";Snack
283;701;3433058716;South Africa;24/01/2019 17:35;At my home;"[""My spouse/partner""]";At my home;Supermarket / Hypermarket / Grocery Store ;"[""Watching TV""]";It was premade / ready to eat;"[""Biscuits""]";"[""I wanted a snack""]";"[""Meat""]";Snack
284;703;6097511826;South Africa;07/06/2019 08:25;At school / work;"[""Friends""]";At school / work;Convenience Store / Small local supermarket;"[""Watching TV""]";It was premade / ready to eat;"[""Cake""]";"[""I like the taste"", ""Convenient""]";"[""Nothing""]";Snack
285;704;2679070932;South Africa;09/02/2019 11:45;At my home;"[""My spouse/partner""]";At my home;I had it at home / brought it from home;"[""Watching TV""]";I prepared it myself from scratch;"[""Chickpeas"", ""Dried fruit""]";"[""It's my favourite""]";"[""Coffee"", ""Coffee""]";Treat
286;705;4237176;South Africa;17/01/2019 10:10;At my home;"[""Alone""]";At my home;I had it at home / brought it from home;"[""Nothing""]";I prepared it myself from scratch;"[""Plain yoghurt (sweet)""]";"[""It's a healthy choice"", ""Convenient""]";"[""Nothing""]";Lunch
287;706;7535847137;South Africa;24/07/2019 07:48;At my home;"[""Alone""]";At my home;;"[""Watching TV""]";I prepared it myself from scratch;"[""Pork""]";"[""Convenient""]";"[""Other dishes""]";Treat
288;709;7935325204;South Africa;08/08/2019 06:22;At my home;"[""My children""]";At my home;;"[""Watching TV"", ""On my phone""]";I prepared it myself from scratch;"[""Porridge/ oatmeal""]";"[""Other""]";"[""Other dishes""]";Dinner
289;712;1021984278;South Africa;28/05/2019 12:29;At my home;"[""Other family members""]";At my home;;"[""On my phone""]";Someone else prepared it;"[""Beans"", ""Egg-based dish""]";"[""It's my favourite""]";"[""Meat""]";Other
290;715;3457284270;South Africa;25/06/2019 16:19;At someone else's home;"[""Alone""]";At someone else's home;Supermarket / Hypermarket / Grocery Store ;"[""Spending time with family""]";It was premade / ready to eat;"[""Fruit flavoured yoghurt""]";"[""It's light / not filling""]";"[""Confectionery""]";Snack
291;716;474993240;South Africa;31/01/2019 19:37;At my home;"[""My spouse/partner"", ""My children""]";At my home;I had it at home / brought it from home;"[""Relaxing / laying down""]";I prepared it myself from scratch;"[""Pasta with sauce""]";"[""I was hungry""]";"[""Rice / pasta / grains / pulses""]";Dinner
292;717;3587747456;South Africa;16/02/2019 04:02;At my home;"[""Alone""]";At my home;I had it at home / brought it from home;"[""Playing games""]";I prepared it myself from scratch;"[""Cheese pizza""]";"[""I was hungry""]";"[""Sandwich / bagel / wrap""]";Snack
293;718;2055672035;South Africa;26/04/2019 11:54;At my home;"[""Alone""]";At my home;Cafe / restaurant;"[""Browsing social media""]";It was premade / ready to eat;"[""Biscuits"", ""Jam""]";"[""It's light / not filling""]";"[""Sweet pastry / baked goods""]";Snack
294;719;5329088308;South Africa;10/06/2019 08:17;At my home;"[""Alone""]";At my home;Kiosk / Stall;"[""Watching TV""]";It was premade / ready to eat;"[""Crackers/ wafers""]";"[""I like the taste""]";"[""Rice / pasta / grains / pulses"", ""Fish / seafood""]";Snack
295;723;3489256392;South Africa;27/03/2019 23:41;At my home;"[""My spouse/partner"", ""My children""]";At my home;I had it at home / brought it from home;"[""Watching TV""]";I prepared it myself from scratch;"[""Instant noodles"", ""Chicken""]";"[""It was all I had""]";"[""Nothing""]";Dinner
296;724;27399061641;South Africa;25/02/2019 05:03;At my home;"[""Other family members""]";At my home;I had it at home / brought it from home;"[""Household chores""]";I prepared it myself from scratch;"[""Plain rice"", ""Vegetable curry"", ""Vegetable curry""]";"[""I like the taste"", ""It was all I had""]";"[""Other Dishes""]";Breakfast
297;726;3729188155;South Africa;22/02/2019 17:06;At my home;"[""Alone""]";At my home;Deli / Sandwich Store / Bakery;"[""Working / studying""]";;"[""Sandwich/ bagel""]";"[""I was hungry""]";"[""Nothing""]";Snack
298;731;6410306880;South Africa;10/06/2019 15:23;At my home;"[""My spouse/partner"", ""My children""]";At my home;;"[""Watching TV"", ""Browsing social media""]";Someone else prepared it;"[""Bread/ roll/ baguette"", ""Crackers/ wafers"", ""Crackers/ wafers""]";"[""I was hungry""]";"[""Meat""]";Snack
299;743;3211075955;South Africa;07/02/2019 05:14;At my home;"[""Alone""]";At my home;Supermarket / Hypermarket / Grocery Store ;"[""Nothing""]";It was premade / ready to eat;"[""Other grains"", ""Other grains""]";"[""It's my habit / routine""]";"[""Nothing""]";Breakfast
300;745;3644556630;South Africa;22/05/2019 14:01;At school / work;"[""Alone""]";At school / work;Supermarket / Hypermarket / Grocery Store ;"[""Working / studying""]";It was premade / ready to eat;"[""Tropical and exotic fruit""]";"[""I wanted a snack""]";"[""Fruit""]";Snack
301;746;11799792;South Africa;12/02/2019 22:29;At my home;"[""Alone""]";At my home;Supermarket / Hypermarket / Grocery Store ;"[""Browsing social media""]";I prepared it myself from scratch;"[""Meat soup""]";"[""It's what I wanted""]";"[""Nothing""]";Lunch
302;747;1237187500;South Africa;29/01/2019 21:59;At school / work;"[""Alone""]";At school / work;Supermarket / Hypermarket / Grocery Store ;"[""Nothing""]";It was premade / ready to eat;"[""Candy""]";"[""Energy boost""]";"[""Nothing""]";Snack
303;748;5637241157;South Africa;28/05/2019 17:08;At my home;"[""Alone""]";At my home;Supermarket / Hypermarket / Grocery Store ;"[""Household chores""]";It was premade / ready to eat;"[""Plain nuts""]";"[""It's my habit / routine""]";"[""Fruit""]";Snack
304;749;5548561020;South Africa;26/06/2019 12:29;At my home;"[""Alone""]";At my home;;"[""Browsing the internet""]";I prepared it together with friends / family;"[""Noodles"", ""Savoury snacks"", ""Tofu""]";"[""I like the taste""]";"[""Nothing""]";Dinner
305;753;5239066027;South Africa;23/08/2019 23:35;At my home;"[""Alone""]";At my home;Farmers Market ;"[""Playing games""]";It was premade / ready to eat;"[""Bread/ roll/ baguette""]";"[""It's my habit / routine""]";"[""Nothing""]";Breakfast
306;757;1303986364;South Africa;25/05/2019 16:44;Cafe / restaurant / bar / hotel;"[""My spouse/partner""]";Cafe / restaurant / bar / hotel;;"[""Talking to someone""]";Someone else prepared it;"[""Beef"", ""Mixed salad""]";"[""Cheap""]";"[""Nothing""]";Dinner
307;760;1434748479;South Africa;06/02/2019 18:42;At my home;"[""Alone""]";At my home;Supermarket / Hypermarket / Grocery Store ;"[""Working / studying""]";It was premade / ready to eat;"[""Crackers/ wafers""]";"[""I was hungry"", ""I like the taste""]";"[""Nothing""]";Snack
308;764;1057899384;South Africa;04/04/2019 10:18;At school / work;"[""Alone""]";At school / work;I had it at home / brought it from home;"[""Working / studying""]";It was premade / ready to eat;"[""Nut bar""]";"[""It's a healthy choice"", ""I wanted a snack"", ""Personal dietary requirement""]";"[""Nothing""]";Snack
309;766;3333342432;South Africa;24/01/2019 16:38;At my home;"[""Alone""]";At my home;I had it at home / brought it from home;"[""Watching TV""]";I prepared it myself from scratch;"[""Toast"", ""Beef""]";"[""I was hungry"", ""I like the taste""]";"[""Savoury snacks""]";Snack
310;767;3022387389;South Africa;21/07/2019 02:23;At my home;"[""Alone""]";At my home;;"[""Watching TV""]";I prepared it together with friends / family;"[""Bread/ roll/ baguette"", ""Cake"", ""Cake""]";"[""It's my favourite""]";"[""Nothing""]";Breakfast
311;768;641989443;South Africa;27/04/2019 03:49;At school / work;"[""Colleagues""]";At school / work;;"[""Nothing"", ""Browsing the internet""]";I prepared it myself from scratch;"[""Sandwich/ bagel""]";"[""Easy to prepare"", ""It's my habit / routine""]";"[""Breads""]";Breakfast
312;769;295625244;South Africa;31/01/2019 15:11;At my home;"[""Alone""]";At my home;I had it at home / brought it from home;"[""Watching TV""]";I prepared it myself from scratch;"[""Biscuits""]";"[""I like the taste""]";"[""Pizza"", ""Ice cream""]";Snack
313;777;3350254446;South Africa;24/01/2019 22:21;At my home;"[""Alone""]";At my home;Supermarket / Hypermarket / Grocery Store ;"[""Reading""]";It was premade / ready to eat;"[""Biscuits""]";"[""I wanted a snack""]";"[""Dairy""]";Snack
314;778;759635603;South Africa;29/04/2019 08:16;At my home;"[""Other family members""]";At my home;;"[""Watching TV""]";Someone else prepared it;"[""Plain rice""]";"[""It's my habit / routine""]";"[""Rice / pasta / grains / pulses""]";Lunch
315;779;351241968;South Africa;27/06/2019 12:30;Cafe / restaurant / bar / hotel;"[""Alone""]";Cafe / restaurant / bar / hotel;;"[""Nothing""]";Someone else prepared it;"[""Cake""]";"[""I like the taste""]";"[""Nothing""]";Lunch
316;781;26046081767;South Africa;20/02/2019 04:24;At my home;"[""Alone""]";At my home;I had it at home / brought it from home;"[""Watching TV""]";I prepared it myself from scratch;"[""Plain yoghurt (savoury)"", ""Plain rice""]";"[""It's a healthy choice""]";"[""Sweet pastry / baked goods"", ""Rice / pasta / grains / pulses""]";Breakfast
317;786;3185273130;South Africa;02/02/2019 03:52;At my home;"[""Alone""]";At my home;I had it at home / brought it from home;"[""Watching TV""]";It was premade / ready to eat;"[""Salad vegetables"", ""Olives"", ""Jam""]";"[""It's my habit / routine""]";"[""Nothing""]";Breakfast
318;787;3464999446;South Africa;03/05/2019 13:53;At my home;"[""Alone""]";At my home;;"[""Watching TV""]";I prepared it myself from scratch;"[""Other meat"", ""Other vegetable dish"", ""Plain rice"", ""Beans""]";"[""It was all I had""]";"[""Juice / juice drinks""]";Lunch
319;793;1521107636;South Africa;11/05/2019 07:38;At my home;"[""Alone""]";At my home;Supermarket / Hypermarket / Grocery Store ;"[""Watching TV""]";It was premade / ready to eat;"[""Croissants/ sweet pastry""]";"[""It's my habit / routine""]";"[""Breads""]";Breakfast
320;795;6224936684;South Africa;12/08/2019 15:01;At my home;"[""Alone""]";At my home;;"[""Watching TV""]";Someone else prepared it;"[""Plain rice"", ""Bread/ roll/ baguette"", ""Chicken"", ""Soft desserts"", ""Vegetable curry""]";"[""I was hungry""]";"[""Nothing""]";Lunch
321;806;7199270544;South Africa;19/07/2019 16:09;At my home;"[""Other family members""]";At my home;;"[""Watching TV""]";Someone else prepared it;"[""Pasta with sauce"", ""Chicken"", ""Other potatoes/ sweet potatoes""]";"[""Someone prepared it for me""]";"[""Meat""]";Dinner
322;812;16892120;South Africa;24/05/2019 08:40;At school / work;"[""Friends""]";At school / work;Supermarket / Hypermarket / Grocery Store ;"[""Browsing social media""]";It was premade / ready to eat;"[""Candy""]";"[""I was hungry""]";"[""Nothing""]";Breakfast
323;816;4701567992;South Africa;24/05/2019 09:08;At school / work;"[""Alone""]";At school / work;;"[""On my phone""]";I prepared it myself from scratch;"[""Chicken"", ""Fried potatoes/ sweet potatoes"", ""Root veg"", ""Salad vegetables"", ""Beans""]";"[""Leftovers / to eat it up before it spoils""]";"[""Nothing""]";Lunch
324;818;6287088774;South Africa;25/06/2019 15:57;At my home;"[""Alone""]";At my home;;"[""Listening to music""]";I prepared it myself from scratch;"[""Chicken""]";"[""It was all I had""]";"[""Pizza""]";Treat
325;820;415513417;South Africa;31/01/2019 21:03;At my home;"[""Alone""]";At my home;Supermarket / Hypermarket / Grocery Store ;"[""Watching TV""]";It was premade / ready to eat;"[""Biscuits""]";"[""I wanted a snack""]";"[""Nothing""]";Snack
326;821;3297218782;South Africa;16/05/2019 21:57;At someone else's home;"[""Alone""]";At someone else's home;Supermarket / Hypermarket / Grocery Store ;"[""Talking to someone"", ""Browsing the internet""]";It was premade / ready to eat;"[""Fruit flavoured yoghurt""]";"[""I had a craving""]";"[""Nothing""]";Snack
327;829;6442406685;South Africa;11/06/2019 00:47;At my home;"[""Alone""]";At my home;;"[""On my phone""]";I prepared it myself from scratch;"[""Instant noodles""]";"[""It's a healthy choice""]";"[""Rice / pasta / grains / pulses""]";Breakfast
328;835;6415767050;South Africa;18/06/2019 11:08;At my home;"[""My children""]";At my home;;"[""Watching TV""]";I prepared it myself from scratch;"[""Plain rice""]";"[""Easy to prepare""]";"[""Rice / pasta / grains / pulses""]";Dinner
329;836;2.36E+12;South Africa;29/07/2019 18:01;At my home;"[""Alone""]";At my home;;"[""Watching TV""]";I prepared it myself from scratch;"[""Plain rice"", ""Vegetable curry"", ""Salad vegetables""]";"[""Easy to prepare""]";"[""Breads"", ""Juice / juice drinks""]";Dinner
330;837;3396701862;South Africa;01/02/2019 06:04;At my home;"[""Alone""]";At my home;I had it at home / brought it from home;"[""Watching TV""]";I prepared it myself from scratch;"[""Rice with vegetables""]";"[""I like the taste""]";"[""Sweet pastry / baked goods""]";Lunch
331;838;27270348;South Africa;03/06/2019 13:40;At my home;"[""Alone""]";At my home;Supermarket / Hypermarket / Grocery Store ;"[""Watching TV""]";It was premade / ready to eat;"[""Potato crisps""]";"[""I wanted a snack"", ""I like the taste"", ""Cheap""]";"[""Vegetables""]";Snack
332;839;6545084508;South Africa;03/07/2019 09:51;At school / work;"[""Alone""]";At school / work;Convenience Store / Small local supermarket;"[""Listening to music""]";It was premade / ready to eat;"[""Biscuits""]";"[""Convenient"", ""It's refreshing""]";"[""Rice / pasta / grains / pulses""]";Treat
333;843;7118388688;South Africa;09/07/2019 14:44;At my home;"[""Alone""]";At my home;Supermarket / Hypermarket / Grocery Store ;"[""Browsing social media""]";It was premade / ready to eat;"[""Chocolate sweets/ snacks""]";"[""I had a craving""]";"[""Nothing""]";Treat
334;845;48043;South Africa;24/01/2019 21:30;At my home;"[""Alone""]";At my home;Supermarket / Hypermarket / Grocery Store ;"[""Watching TV"", ""Nothing""]";It was premade / ready to eat;"[""Biscuits""]";"[""Quick"", ""I wanted a snack""]";"[""Nothing""]";Snack
335;846;5671661732;South Africa;05/06/2019 10:38;At my home;"[""Alone""]";At my home;;"[""Nothing""]";I prepared it myself from scratch;"[""Egg-based dish"", ""Plain rice""]";"[""Preferred choice unavailable""]";"[""Nothing""]";Dinner
336;848;62509608;South Africa;16/01/2019 17:21;At my home;"[""Other family members""]";At my home;I had it at home / brought it from home;"[""Watching TV""]";Someone else prepared it;"[""Bread/ roll/ baguette"", ""Other vegetable dish""]";"[""I was hungry""]";"[""Vegetables"", ""Breads""]";Dinner
337;852;7392245;South Africa;24/07/2019 02:55;At my home;"[""Alone""]";At my home;;"[""Watching TV""]";I prepared it together with friends / family;"[""Other potatoes/ sweet potatoes""]";"[""Energy boost""]";"[""Coffee"", ""Hot tea""]";Breakfast
338;853;5183191647;South Africa;01/06/2019 06:04;At my home;"[""Alone""]";At my home;;"[""Nothing""]";I prepared it myself from scratch;"[""Potato crisps""]";"[""It's refreshing""]";"[""Nothing""]";Snack
339;855;6260762542;South Africa;06/06/2019 05:41;At my home;"[""Alone""]";At my home;;"[""Watching TV""]";I prepared it myself from scratch;"[""Plain rice"", ""Beef""]";"[""It's my favourite"", ""Easy to prepare""]";"[""Cereals / porridge""]";Lunch
340;856;3377316690;South Africa;08/04/2019 13:03;At my home;"[""Alone""]";At my home;Kiosk / Stall;"[""Browsing social media""]";;"[""Crackers/ wafers"", ""Porridge/ oatmeal""]";"[""It's a healthy choice"", ""I was hungry""]";"[""Coffee""]";Breakfast
341;862;5304033976;South Africa;24/08/2019 00:51;At my home;"[""My spouse/partner"", ""My children""]";At my home;;"[""Listening to radio""]";I prepared it myself from scratch;"[""Plain rice"", ""Chicken"", ""Pork"", ""Other vegetable dish""]";"[""I was hungry""]";"[""Rice / pasta / grains / pulses""]";Breakfast
342;870;40276154;South Africa;01/02/2019 15:34;At my home;"[""Alone""]";At my home;I had it at home / brought it from home;"[""Watching TV""]";Someone else prepared it;"[""Pork"", ""Marrow and aubergine""]";"[""Someone prepared it for me""]";"[""Water""]";Lunch
343;871;3355652039;South Africa;28/03/2019 05:57;At my home;"[""My children""]";At my home;Supermarket / Hypermarket / Grocery Store ;"[""Nothing""]";It was premade / ready to eat;"[""Apples and pears""]";"[""Cheap"", ""Quick"", ""It's a healthy choice""]";"[""Nothing""]";Snack
344;873;2065479000;South Africa;12/01/2019 00:15;At my home;"[""Alone""]";At my home;I had it at home / brought it from home;"[""On my phone"", ""Browsing the internet"", ""Browsing social media""]";Someone else prepared it;"[""Cake""]";"[""It was all I had""]";"[""Fruit""]";Dinner
345;874;3379288101;South Africa;04/02/2019 09:42;At my home;"[""My spouse/partner"", ""My children""]";At my home;I had it at home / brought it from home;"[""Watching TV""]";Someone else prepared it;"[""Bread/ roll/ baguette""]";"[""Someone prepared it for me""]";"[""Nothing""]";Lunch
346;875;981777797;South Africa;03/04/2019 16:21;At my home;"[""Alone""]";At my home;I had it at home / brought it from home;"[""Relaxing / laying down""]";I prepared it myself from scratch;"[""Cake""]";"[""I like the taste""]";"[""Nothing""]";Lunch
347;881;822629215;South Africa;05/02/2019 21:25;At my home;"[""Other family members""]";At my home;I had it at home / brought it from home;"[""Browsing the internet"", ""Nothing""]";Someone else prepared it;"[""Stuffed vegetables"", ""Plain rice""]";"[""I like the taste""]";"[""Nothing""]";Treat
348;883;885525152;South Africa;22/05/2019 16:06;At my home;"[""Alone""]";At my home;;"[""Watching TV""]";I ordered take out from a restaurant / cafe;"[""Fried potatoes/ sweet potatoes"", ""Chutney"", ""Chutney""]";"[""I like the taste"", ""Kids/ family like it""]";"[""Meat""]";Snack
349;886;3637118412;South Africa;04/03/2019 17:52;At my home;"[""My children""]";At my home;Supermarket / Hypermarket / Grocery Store ;"[""Browsing social media""]";It was premade / ready to eat;"[""Savoury biscuits""]";"[""I was hungry""]";"[""Milk / flavoured milk / milk alternatives"", ""Biscuits / cookies""]";Snack
350;894;1097867576;South Africa;03/01/2019 15:36;At my home;"[""Alone""]";At my home;Supermarket / Hypermarket / Grocery Store ;"[""Watching TV"", ""Browsing the internet""]";It was premade / ready to eat;"[""Biscuits""]";"[""It's my favourite"", ""I wanted to treat myself""]";"[""Nothing""]";Snack
351;895;996022268;South Africa;10/04/2019 10:45;At my home;"[""Alone""]";At my home;Supermarket / Hypermarket / Grocery Store ;"[""Listening to radio""]";It was premade / ready to eat;"[""Tropical and exotic fruit"", ""Fruit flavoured yoghurt""]";"[""It's a healthy choice""]";"[""Nothing""]";Breakfast
352;896;4452563556;South Africa;11/05/2019 17:43;At my home;"[""Alone""]";At my home;;"[""Watching TV""]";I prepared it myself from scratch;"[""Mixed salad"", ""Green salad "", ""Savoury snacks"", ""Hard cheese"", ""Beans""]";"[""It's light / not filling""]";"[""Nothing""]";Dinner
353;897;1310943472;South Africa;04/02/2019 18:03;At my home;"[""My children""]";At my home;I had it at home / brought it from home;"[""Watching TV""]";It was premade / ready to eat;"[""Savoury biscuits""]";"[""Convenient"", ""I like the taste""]";"[""Nothing""]";Snack
354;899;7685544032;South Africa;26/08/2019 05:39;At my home;"[""Alone""]";At my home;Farmers Market ;"[""Other""]";It was premade / ready to eat;"[""Other fruit""]";"[""It looked good""]";"[""Fruit""]";Lunch
355;900;4246513380;South Africa;17/07/2019 08:17;At my home;"[""Alone""]";At my home;;"[""Nothing""]";I prepared it myself from scratch;"[""Bread/ roll/ baguette"", ""Egg-based dish"", ""Jam"", ""Olives"", ""Soft cheese/ cheese spread""]";"[""Preferred choice unavailable"", ""It's my habit / routine""]";"[""Nothing""]";Breakfast
